No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0045,STN0075,STN0254
"676530",Grass,"2",16.23579216,55.027741,"0",18.8209834616294,98.8836256087892,5598.02366,15814.61492,8808.887397
"676531",Grass,"2",18.7780323,55.027741,"0",18.821028650835,98.8836255776933,5598.394329,15818.99993,8803.886118
"676532",Tree,"2",16.23579216,55.000806,"0",18.8209834986336,98.8836849280033,5604.259183,15817.6245,8808.995117
"676533",Tree,"2",18.7780323,55.000806,"0",18.8210286878392,98.8836848969233,5604.62944,15822.00868,8803.9939
"676534",Tree,"2",14.5535574,55.000806,"0",18.8209835282233,98.8837323833747,5609.247629,15820.03353,8809.084488
"676535",Tree,"2",18.9879818,55.000806,"0",18.821028717429,98.8837323523074,5609.617556,15824.41704,8804.083321
"676536",Tree,"2",14.5535574,54.973907,"0",18.8209835589099,98.8837816183226,5614.423166,15822.53419,8809.180211
"676537",Tree,"2",18.9879818,54.973907,"0",18.8210287481157,98.8837815872684,5614.792753,15826.91701,8804.179098
"676538",Grass,"2",14.5535574,54.947044,"0",18.8209835947561,98.8838391579606,5620.471719,15825.4583,8809.295952
"676539",Grass,"2",18.9879818,54.947044,"0",18.821028783962,98.8838391269218,5620.840908,15829.8403,8804.294906
"676540",Grass,"2",15.79316902,54.947044,"0",18.8209836243066,98.8838866133322,5625.460243,15827.87128,8809.39455
"676541",Grass,"2",20.40628433,54.947044,"0",18.8210288135125,98.8838865823062,5625.829104,15832.25262,8804.393559
"676542",Grass,"2",15.79316902,54.920216,"0",18.8209836612277,98.883945932547,5631.695931,15830.8892,8809.52179
"676543",Grass,"2",20.40628433,54.920216,"0",18.8210288504337,98.8839459015367,5632.064384,15835.26971,8804.520871
"676544",Grass,"2",16.18126869,54.920216,"0",18.820983690751,98.8839933879188,5636.684508,15833.30491,8809.626775
"676545",Grass,"2",19.69992065,54.920216,"0",18.8210288799572,98.8839933569212,5637.052635,15837.68475,8804.625916
"676546",Tree,"2",16.18126869,54.893425,"0",18.8209837276382,98.8840527071338,5642.920263,15836.32625,8809.761999
"676547",Tree,"2",19.69992065,54.893425,"0",18.8210289168444,98.884052676152,5643.287983,15840.70525,8804.761217
"676548",Tree,"2",17.23186493,54.893425,"0",18.8209837571344,98.8841001625058,5647.908894,15838.74468,8809.873372
"676549",Tree,"2",19.98092079,54.893425,"0",18.8210289463406,98.8841001315368,5648.276289,15843.12301,8804.872653
"676550",Tree,"2",17.23186493,54.86667,"0",18.8209837939876,98.884159481721,5654.144716,15841.76942,8810.016579
"676551",Tree,"2",19.98092079,54.86667,"0",18.821028983194,98.8841594507678,5654.511706,15846.14692,8805.015941
"676552",Tree,"2",19.35552597,54.86667,"0",18.8209838234566,98.8842069370933,5659.133399,15844.19057,8810.134338
"676553",Tree,"2",20.59450722,54.86667,"0",18.821029012663,98.8842069061528,5659.500066,15848.5674,8805.133767
"676554",Tree,"2",19.35552597,54.839951,"0",18.8209838540179,98.8842561720421,5664.309184,15846.7038,8810.259513
"676555",Tree,"2",20.59450722,54.839951,"0",18.8210290432244,98.8842561411148,5664.675515,15851.07993,8805.259014
"676556",Tree,"2",19.35552597,54.813269,"0",18.8209838897176,98.8843137116812,5670.358024,15849.64259,8810.409674
"676557",Tree,"2",20.59450722,54.813269,"0",18.8210290789243,98.8843136807693,5670.723964,15854.01791,8805.409259
"676558",Tree,"2",14.13292122,54.813269,"0",18.8209839191474,98.8843611670538,5675.346783,15852.06767,8810.536657
"676559",Tree,"2",14.06855583,54.813269,"0",18.8210291083541,98.8843611361545,5675.712403,15856.44232,8805.536315
"676560",Tree,"2",14.13292122,54.786624,"0",18.8209839559176,98.8844204862696,5681.582766,15855.10072,8810.699377
"676561",Tree,"2",14.06855583,54.786624,"0",18.8210291451244,98.8844204553861,5681.947984,15859.47454,8805.699127
"676562",Tree,"2",2.5606389,54.786624,"0",18.8209839853202,98.8844679416423,5686.571578,15857.52852,8810.832745
"676563",Tree,"2",6.14724827,54.786624,"0",18.821029174527,98.8844679107716,5686.936476,15861.90166,8805.832571
"676564",Tree,"2",2.5606389,54.760015,"0",18.8209840514318,98.8845747162313,5697.79649,15862.99547,8811.143198
"676565",Tree,"2",2.5606389,54.760015,"0",18.8209840220564,98.8845272608584,5692.807626,15860.56496,8811.003445
"676566",Tree,"2",6.14724827,54.760015,"0",18.8210292112634,98.8845272300034,5693.172124,15864.93727,8806.003368
"676567",Tree,"2",7.64140511,54.760015,"0",18.8210292406389,98.8845746853891,5698.160669,15867.36711,8806.1432
"676568",Tree,"2",2.5606389,54.733444,"0",18.8209840881341,98.8846340354476,5704.032602,15866.0353,8811.321879
"676569",Tree,"2",7.64140511,54.733444,"0",18.8210292773412,98.8846340046212,5704.396383,15870.4061,8806.321982
"676570",Tree,"2",10.41737175,54.733444,"0",18.8209841174824,98.8846814908208,5709.021518,15868.46851,8811.468015
"676571",Tree,"2",15.11946106,54.733444,"0",18.8210293066896,98.884681460007,5709.384981,15872.83865,8806.468202
"676572",Tree,"2",10.41737175,54.70691,"0",18.8209841479184,98.8847307257705,5714.197543,15870.99425,8811.622631
"676573",Tree,"2",15.11946106,54.70691,"0",18.8210293371257,98.8847306949699,5714.560676,15875.36369,8806.622905
"676574",Tree,"2",10.41737175,54.680414,"0",18.8209841834717,98.8847882654107,5720.246662,15873.94765,8811.807195
"676575",Tree,"2",15.11946106,54.680414,"0",18.8210293726791,98.8847882346255,5720.609412,15878.31628,8806.807574
"676576",Tree,"2",17.54840088,54.680414,"0",18.8209842127807,98.8848357207841,5725.235652,15876.38478,8811.962551
"676577",Tree,"2",23.39650154,54.680414,"0",18.8210294019882,98.8848356900116,5725.598086,15880.75274,8806.963018
"676578",Tree,"2",17.54840088,54.653955,"0",18.8209842494,98.884895040001,5731.471922,15879.43288,8812.160735
"676579",Tree,"2",23.39650154,54.653955,"0",18.8210294386076,98.8848950092443,5731.833961,15883.8,8807.161315
"676580",Tree,"2",24.78446388,54.653955,"0",18.8209842786818,98.8849424953746,5736.460962,15881.87271,8812.322473
"679028",Tree,"2",14.30291462,55.211665,"0",18.8208813925146,98.8829968954717,5531.10195,15772.94552,8819.27235
"679029",Tree,"2",16.94235802,55.211665,"0",18.8208814222792,98.8830443508132,5536.090784,15775.33838,8819.320481
"679030",Tree,"2",14.06855583,55.211665,"0",18.8209265817196,98.882996864208,5531.466926,15777.33854,8814.270577
"679031",Tree,"2",15.11946106,55.211665,"0",18.8209266114843,98.8830443195622,5536.455432,15779.73074,8814.318735
"679032",Tree,"2",16.94235802,55.184549,"0",18.8208814594681,98.8831036699903,5542.32686,15778.33117,8819.384633
"679033",Tree,"2",15.11946106,55.184549,"0",18.8209266486732,98.8831036387551,5542.691097,15782.7227,8814.382924
"679034",Tree,"2",19.91116714,55.184549,"0",18.8208814892055,98.883151125332,5547.315748,15780.72678,8819.439146
"679035",Tree,"2",17.23186493,55.184549,"0",18.8209266784108,98.8831510941096,5547.679657,15785.11764,8814.437468
"679036",Tree,"2",19.91116714,55.157467,"0",18.8208815263604,98.8832104445094,5553.55189,15783.72301,8819.511277
"679037",Tree,"2",17.23186493,55.157467,"0",18.8209267155658,98.8832104133028,5553.915391,15788.11304,8814.509639
"679038",Tree,"2",16.83869743,55.157467,"0",18.8209267452761,98.8832578686574,5558.904005,15790.51073,8814.570569
"679039",Tree,"2",21.46435928,55.157467,"0",18.8208815560707,98.8832578998513,5558.54083,15786.12137,8819.572172
"679040",Grass,"2",16.83869743,55.130419,"0",18.8209267760879,98.883307103588,5564.079718,15792.99962,8814.636783
"679041",Grass,"2",21.46435928,55.130419,"0",18.8208815868824,98.8833071347687,5563.716881,15788.61096,8819.638349
"679042",Grass,"2",16.83869743,55.103405,"0",18.8209268120804,98.8833646432057,5570.128475,15795.91,8814.718037
"679043",Grass,"2",21.46435928,55.103405,"0",18.8208816228748,98.883364674371,5569.766032,15791.52214,8819.719557
"679044",Grass,"2",17.29910851,55.103405,"0",18.8209268417515,98.8834120985606,5575.117167,15798.31165,8814.788191
"679045",Grass,"2",22.67769241,55.103405,"0",18.8208816525458,98.8834121297133,5574.755048,15793.92446,8819.78967
"679046",Bare Soil,"2",17.29910851,55.076427,"0",18.8209268788235,98.8834714177544,5581.353065,15801.31543,8814.879873
"679047",Bare Soil,"2",22.67769241,55.076427,"0",18.8208816896177,98.8834714488913,5580.991351,15796.92907,8819.881301
"679048",Bare Soil,"2",18.64143944,55.076427,"0",18.8209269084674,98.8835188731095,5586.341811,15803.71983,8814.956411
"679049",Bare Soil,"2",23.54085159,55.076427,"0",18.8208817192616,98.8835189042337,5585.98042,15799.33414,8819.957795
"679050",Grass,"2",18.64143944,55.049484,"0",18.8209269455054,98.8835781923035,5592.577776,15806.72703,8815.056074
"679051",Grass,"2",23.54085159,55.049484,"0",18.8208817562995,98.8835782234119,5592.216788,15802.34218,8820.057402
